school,avgscrwrite,phone
Equitas Academy #2,,(213) 201-5940
Citizens of the World 2,,(323) 462-2840
Academy of Science and Engineering,,(323) 545-1100
Citizens of the World 3,,(424) 248-0544
Sally Ride Elementary: A SMArT Academy,,(323) 235-7117
Playa Vista Elementary,,(424) 228-1800
Lucille Roybal-Allard Elementary,,(323) 826-1650
Willow Elementary,,(323) 568-5760
Marguerite Poindexter LaMotte Elementary,,(323) 235-8350
"Gerald A. Lawson Academy of the Arts, Mathematics and Science",,(323) 565-3650
"Dr. Lawrence H. Moore Math, Science, Technology Academy",,(323) 277-2310
Michelle Obama Elementary,,(818) 778-5425
Walnut Park Middle A School of Social Justice and Service Learning,,(323) 277-2600
"Walnut Park Middle B Science, Technology, Engineering and Mathematics Academy",,(323) 277-2600
"Hilda L. Solis Learning Academy School of Technology, Business and Education",,(323) 729-1700
Augustus F. Hawkins High A Critical Design and Gaming,354.0,(323) 789-1282
Augustus F. Hawkins High B Community Health Advocates,366.0,(323) 789-1282
Augustus F. Hawkins High C Responsible Indigenous Social Entrepreneurship,346.0,(323) 789-1282
Linda Esperanza Marquez High A Huntington Park Institute of Applied Medicine,431.0,(323) 568-3800
Linda Esperanza Marquez High B LIBRA Academy,410.0,(323) 584-3800
Linda Esperanza Marquez High C School of Social Justice,423.0,(323) 584-3800
"Science, Technology, Engineering, Arts and Mathematics at Legacy High School Complex",383.0,(323) 357-7545
Visual and Performing Arts at Legacy High School Complex,386.0,(323) 357-7500
"South Region High #12A Technology, Arts and Design High",,
Academy for Multilingual Arts and Science at Mervyn M. Dymally High,377.0,(323) 565-4600
Harry Bridges Span,,(310) 522-5400
Sylmar Leadership Academy,,(818) 252-5423
Porter Ranch Community,,(818) 709-7100
Academies of Education and Empowerment at Carson High,403.0,(310) 847-1455
Academy of Medical Arts at Carson High,417.0,(310) 847-1465
Aspire Centennial College Preparatory Academy,,(323) 826-9616
Alliance Alice M. Baxter College-Ready High,,(310) 221-0430
KIPP Iluminar Academy,,(323) 800-5218
Humanities and Arts (HARTS) Academy of Los Angeles,425.0,(310) 257-7100
Contreras Learning Center-School of Social Justice,383.0,(213) 240-3800
Early College Academy-LA Trade Tech College,,(323) 763-3685
Studio,,(323) 225-4542
Executive Preparatory Academy of Finance,,(323) 756-1426
Pathways Community,,(323) 481-2334
City Language Immersion Charter,,(323) 294-4937
Valor Academy High,,(818) 934-8910
Camino Nuevo High #2,,(213) 736-5566
PREPA TEC - Los Angeles,,(323) 800-2741
Urban Village Middle,,
Metro Charter,,(213) 377-5708
Ingenium Charter Middle,,(818) 456-4590
Alliance Leadership Middle Academy,,(323) 920-4388
Lashon Academy,,(818) 514-4566
Alliance College-Ready Middle Academy 8,,(323) 269-2156
Alliance Kory Hunter Middle,,(323) 484-0450
Alliance College-Ready Middle Academy 12,,(323) 238-7270
Global Education Academy Middle,,(323) 641-7283
Extera Public School No. 2,,(323) 263-3600
The Incubator,,(424) 228-1830
New Horizons Charter Academy,,(818) 655-9602
"Ivy Bound Academy Math, Science, and Technology Charter Middle 2",,(818) 646-4992
KIPP Academy of Innovation,,(323) 406-8000
Dr. Sammy Lee Medical and Health Science Magnet Elementary,,(213) 368-2824
Animo Mae Jemison Charter Middle,,(323) 565-4450
Westside Innovative School House Charter Middle,,(310) 410-9940
KIPP Vida Preparatory Academy,,(323) 406-8007
Boyle Heights STEM High,,(323) 268-1031
NAVA College Preparatory Academy,,(213) 241-0100
PUC Inspire Charter Academy,,(818) 492-1880
PUC Community Charter Elementary,,(818) 492-1890
TEACH Tech Charter High,,(323) 750-8471
Equitas Academy #3 Charter,,(213) 201-5940
Banning Academies of Creative and Innovative Sciences (BACIS),,(310) 847-3734
Clemente Charter,,(323) 984-9008
Global Education Academy 2,,(323) 537-7225
Everest Value,,(213) 487-7736
Village Charter Academy,,(818) 716-2887
Community Preparatory Academy,,(323) 751-1460
Sylmar Biotech Health Academy,,(818) 833-3723
Fenton STEM Academy: Elementary Center for Science Technology Engineering and Mathematics,,(818) 962-3636
Renaissance Arts Academy K-12,,(323) 259-5700
Fenton Academy for Social and Emotional Learning,,(818) 962-3636
KIPP Ignite Academy,,(323) 486-6402
KIPP Promesa Prep,,(323) 486-6400
Collegiate Charter High School of Los Angeles,,(213) 304-7077
Summit Preparatory Charter,,(323) 642-8806
Public Policy Charter,,(323) 205-7920
Resolute Academy Charter,,(323) 559-6284
Libertas College Preparatory Charter,,(310) 902-6808
University Preparatory Value High,,(213) 335-3730
Alliance 6-12 College-Ready Academy 21,,(818) 962-3648
Bert Corona Charter High,,(818) 480-6810
USC East College Prep,,(323) 285-1441
City High,,
PUC Triumph Charter Academy and PUC Triumph Charter High,,(818) 837-6221
PUC Nueva Esperanza Charter Academy,,(818) 256-1951
PUC CALS Middle School and Early College High,,(818) 485-0933
Girls Academic Leadership Academy (GALA),,(323) 900-4533
Equitas Academy 4,,(213) 201-0440
Valor Academy Elementary,,(818) 217-2733
New Los Angeles Charter Elementary,,(323) 939-6400
Girls Athletic Leadership School Los Angeles,,(310) 593-3620
"Millikan Science, Technology, Engineering and Math (STEM) Magnet",,(818) 528-1662
Fourth Street Primary Center,,(323) 268-8775
Rise Kohyang High,,(323) 284-2553
California Collegiate Charter,,(323) 450-7290
Animo Florence-Firestone Charter Middle,,(323) 585-3312
City High,,(310) 273-2489
Arts in Action Community Middle,,(323) 266-4371
West Valley Occupational Cente,,
Area 7 Alternative School,,
Benjamin Banneker MH,,
Birmingham Continuation,,
Canoga Park Continuation,,
Chatsworth Continuation,,
Whitman Continuation,,
Francis Polytechnic Continuati,,
Franklin Continuation,,
Fremont Continuation,,
Monterey Continuation,,
Granada Hills Continuation,,
Grant Continuation,,
Hamilton Continuation,,
Locke Continuation,,
Monroe Continuation,,
Narbonne Continuation,,
North Hollywood Continuation,,
Reseda Continuation,,
San Fernando Continuation,,
South Gate Continuation,,
Washington Continuation,,
Bilingual Community Adult,,
Evans Central,,
Van Nuys Cont High,,
Westchester Cont High,,
Calif High School,,
Camino Real High School,,
Hollywood Continuation,,
Los Angeles Polytechnic High,,
Carson Continuation,,
Kennedy Continuation,,
Sylmar Continuation,,
McAllister High,,
Fremont Magnet Center,,
Dorsey Community Adult,,
Tri-C Opportunity,,
Center for Enriched Studies,,
Banning High School Magnet,,
Dorsey High School Magnet,,
Fairfax High School Magnet,,
Franklin High School Magnet,,
Garfield High School Magnet,,
Hamilton High School Magnet,,
Jordan High School Magnet,,
Lincoln High School Magnet,,
Manual Arts High School Magnet,,
North Hollywood Senior High Sc,,
Roosevelt High School Magnet,,
San Fernando High School Magne,,
San Pedro Science Magnet,,
Van Nuys High School Performin,,
Washington High School Commerc,,
Middle Opportunity,,
Van Nuys H.S. Math Magnet,,
Hollywood Shs Pa Magnet,,
Cleveland H.S. Magnet,,
Narbonne H.S. Magnet,,
Washington H.S. Math Magnet,,
Los Angeles H.S. College Incentive Program,,
Jackson (Andrew) Junior-Senior,,
Jefferson Community Adult,,
Lincoln Community Adult,,
Metropolitan High,,
Palisades Senior High,,
Riss Jacob A. Defunct,,
Ross-Betsy-Junior-Senior High,,
San Fernando Community Adult,,
Washington Community Adult,,
Community Bilingual Home Healt,,
Edutrain,,
Youth Opportunities Unlimited,,(323) 789-4731
Palisades Charter High,525.0,(310) 230-6623
Tri-C Community Day,,(213) 745-1901
City of Angels,501.0,(323) 415-8350
Discovery Charter,,
Los Angeles Leadership Academy,425.0,(323) 227-7719
Community Harvest Charter,,
CDS Secondary,,(213) 393-1084
Harbor Teacher Preparation Academy,,
Anchorage Street Elementary,,
Balboa Boulevard Elementary,,
Burnside Avenue Elem. (Defunct,,
Collier Street Elementary,,
West Valley Center for Enriche,,
Devonshire Elementary,,
Emerson Manor Elementary,,
Enadia Way Elementary,,
Fishburn Avenue Elem.,,
Garden Grove Elementary,,(818) 342-4762
Gravois Avenue Elem.,,
Haynes Charter For Enriched Studies,,(818) 716-7310
Hesby Street Elementary,,
Highlander Road Elementary,,
Oakdale Avenue Elementary,,
Osage Avenue Elementary,,
Oso Avenue Elementary,,
Platt Ranch Elementary,,
Prairie Street Elementary,,
Rinaldi Elementary,,
Santa Monica Boulevard Community Charter,,(323) 469-0971
Westchester Elem.(Defunct),,
Airport Junior High,,
Pasteur (Louis) Junior High,,
Bennett (Mary E.) Elementary,,
Waters (Maxine) Employment Prep Ctr.,,
Nightingale Elem.,,
Seventy-Ninth Street Elementar,,
Theodore Roosevelt Elem.,,
Hughes (Charles Evans) Junior,,
Sequoia Junior High,,
Lanterman (Frank) High,,
Marlton Junior High (Deaf),,
North Valley Occupational Cent,,
San Pedro-Willmington Skills C,,
Venice Skills Center,,
East Valley (MH),,
Diane S. Leichman Elementary,,
Metropolitan Skills Center,,
West Valley Skills Center,,
Center for Enriched Studies,,
Bancroft (Hubert Howe) Junior,,
Byrd (Richard E.) Junior Midsi,,
Broadous Fundamental Magnet,,
Gardner Mini Magnet for Gifted,,
Lorne Fundamental Center,,
Loyola Performing Arts,,
One Hundred Second Street Magn,,
One Hundred Seventh Street Mag,,
Palms Junior Midsite,,
Revere (Paul) Junior Midsite,,
Riggin Magnet Center,,
Saturn Gifted Magnet,,
Vena Gifted Magnet,,
Belvedere Junior High School M,,
El Sereno Junior Fundamental M,,
Nobel Junior Magnet Center,,
Pacoima Junior Community Arts,,
Pacoima Math Magnet Center,,
Emerson (Ralph Waldo) Junior M,,
Van Nuys Junior Mid-Site,,
Ambler Gifted Magnet,,
Canterbury Gifted Magnet,,
Kester Gifted Magnet,,
Lorne Fundamental Magnet,,
Loyola Village Magnet Center,,
Monlux Magnet Center,,
Flournoy Gifted Magnet,,
San Jose Gifted Magnet,,
Saticoy Gifted Magnet,,
Sherman Oaks Center for Enrich,,
Taper Gifted Magnet,,
El Sereno Junior Magnet Center,,
Burroughs Gifted Magnet Center,,
Byrd Junior Magnet Center,,
Dodson Junior Gifted Magnet,,
Griffith Junior High School Magnet,,
Peary Junior Magnet Center,,
Porter Junior Gifted Magnet,,
Sepulveda Gifted Magnet,,
Stevenson Gifted Magnet,,
Palms Junior Magnet,,
Portola Gifted Magnet,,
North Hollywood Magnet,,
Amestoy Magnet,,
Figueroa Gifted Magnet,,
Ninety-Third Street Magnet,,
Markham Junior Magnet,,
Webster Midsite,,
Valerio Street Midsite,,
Millikan Midsite,,
De Portola Mini Magnet,,
Thirty-Second Street/Usc-Arts/,,
Eagle Rock Highly Gifted Magne,,
Eagle Rock Gifted Magnet,,
Hillcrest Drive Magnet School,,
Russell Mini-Magnet,,
Seventy-Fourth Street Magnet,,
Sierra Park Mini-Magnet,,
Welby Way Gifted Magnet,,
Audubon Jh Magnet,,
Drew Junior High Magnet,,
El Sereno Junior High Magnet,,
King Jh Mini-Magnet,,
Harbor Math Science Gifted Sch,,
Baldwin Hills Gifted Magnet,,
Bancroft Junior High Magnet,,
Eagle Rock Sr. High Sch. Highl,,
Multhomah Gifted Magnet,,
Park Western Gifted Magnet,,
Westminster Computer Science A,,
Wonderland Gifted Magnet,,
Sara Coughlin Elementary,,(818) 686-6428
Esperanza Elementary,,(213) 484-0326
Walnut Park Elementary,,(323) 588-3145
Los Angeles Elementary,,(323) 734-8233
San Antonio Elementary,,(323) 582-1250
The Accelerated,,(323) 235-6343
Gratts Learning Academy for Young Scholars (GLAYS),,(213) 250-2932
Independence Elementary,,(323) 249-9559
Watts Learning Center,,(323) 754-9900
Los Angeles Academy Middle,,(323) 238-1800
Kindergarten Learning Academy,,
Parks/Huerta Primary Center,,
PUC Community Charter Middle and PUC Community Charter Early College High,,(818) 485-0933
Valerio Primary Center,,
Primary Academy for Success,,(818) 920-2932
View Park Preparatory Accelerated Charter,,(323) 290-6950
Camino Nuevo Charter Academy,,(213) 413-4245
Valley Community Charter,,
Ellen Ochoa Learning Center,,(323) 869-1300
PUC CALS Charter Middle,,
Multicultural Learning Center,,(818) 716-5783
Lafayette Park Primary Center,,(213) 380-5039
Camino Nuevo Charter Middle,,
CHIME Institute's Schwarzenegger Community,,(818) 346-5100
Pacifica Community Charter,,
Downtown Value,,(213) 748-8868
Xinaxcalmecac Academia Semillas del Pueblo,,
Santa Monica Blvd. Community Charter,,
Magnolia Science Academy,470.0,(818) 609-0507
Nueva Esperanza Charter Academy,,
Puente Charter,,(323) 780-8900
Para Los Niños Charter,,(213) 239-6605
Columbus Avenue,,(818) 779-5440
CDS Elementary,,(213) 241-0888
MacArthur Park Elementary School for the Visual and Performing Arts,,(213) 381-7217
View Park Preparatory Accelerated Charter Middle,,(323) 290-6961
Tierra del Sol,,
Grace Christian Preschool,,
Storm Center for Teenagers (In,,
Alpha Home for Boys,,
Annette Crawford Home for Girl,,
Wiggins (Wallace S.) Elementar,,
El Portal Elementary,,(562) 902-4211
Grovedale Elementary,,
Hacienda Elementary,,
Lowell Elementary (Sh),,
Maybrook Elementary,,
Starbuck Intermediate,,
Helen Keller Elementary,,(310) 886-5700
Thurgood Marshall Elementary,,(310) 886-5900
Cesar Chavez Middle,,(310) 886-7300
Marco Antonio Firebaugh High,412.0,(310) 886-5200
Lynwood Learning Academy,,
Pathway Independent Study,,(310) 603-1516
Kaplan Academy of Southern California,,
Lynwood Alternative,,(310) 886-1600
Lynwood Unified Alternative Education,,
Pathway High,,
Lynwood Opportunity School,,
Hosler (Fred W.) Jr High,,
Wright Road Complex,,
Hosler Middle,,(310) 603-1447
Lynwood Middle,,(310) 603-1466
Rosa Parks Elementary,,(310) 603-1401
Pennekamp (Aurelia) Elementary,,
Center Middle,,
Manhattan Beach Intermediate,,
Grand View Elementary,,
La Marina Elementary,,
Ladera Elementary,,
Manhattan Heights Elementary,,
Meadows Avenue Elementary,,
Opal Robinson Elementary,,
Pacific Elementary,,
Special Services-Special Educa,,
Canyon Early Learning Center,,(626) 471-2001
Quest Academy Community Day,,
Monrovia Unified Alternative Education,,
Mountain Park,468.0,(626) 471-3014
Canyon Early Learning Center,,
Preschool Center,,
Applied Technology Center,420.0,(323) 248-2500
Contract Independent Study,,
Contract Independent Study,,
Futures High (Cont.),,
Horizons High (Cont.),,
Montebello Community Day,,(323) 887-7900
Live Oak Primary,,
"Schurr (George Miller, Jr.) Hi",,
Laguna Nueva,,(562) 806-7812
Mountain View Elem.,,
Alfred S. Madrid Middle,,(626) 652-4300
Pico Canyon Elementary,,(661) 291-4080
Dr. J. Michael McGrath Elementary,,(661) 291-4090
Oak Hills Elementary,,(661) 291-4100
Stevenson Ranch Elementary,,(661) 291-4070
Performance Learning Center - CDS,,
Excelsior High,,
Neff (William N.) High,,
Norwalk-La Mirada Unif. Alter. Educ.,,
McNally (Andrew) Intermediate,,
Charlotte Anthony Elementary,,
Corvallis Middle,,(562) 868-2678
Loretta Lampton Elementary,,(562) 462-9273
Wright (Henry L.) Intermediate,,
Howardine J. Kling Elementary,,
Hoxie Avenue Elementary,,
Los Coyotes Intermediate,,
Mesa Elementary,,
Rancho Elementary,,
Reginald M. Benton Middle,,(562) 943-1553
Dolores Huerta Elementary,,
Los Coyotes Middle,,(714) 739-2368
Yellen Learning Center,,(661) 456-1600
Desert Willow Middle,,(661) 285-5866
Antelope Valley Learning Academy,,(661) 952-6028
Oak Tree Community Day,,(661) 285-1548
Dos Caminos,,(661) 947-1849
Palmdale Aerospace Academy,,(661) 273-3680
David G. Millen Middle,,(661) 947-3863
Tamarisk,,(661) 225-9647
Innovations Academy of Palmdale,,(661) 265-8908
Palmdale Discovery Center,,(661) 274-0849
Maryott (Roy R.) Elementary,,
Juniper Upper Elementary,,
Amargosa Sixth Grade Center,,
Sumac Sixth Grade Center,,
Barrel Springs Elementary,,(661) 285-9270
Palmdale Learning Plaza,,(661) 538-9034
Cimarron Elementary,,(661) 285-9780
Oak Tree Learning Center,,
Quail Valley Elementary,,(661) 533-7100
Shadow Hills Middle,,(661) 533-7400
Golden Poppy Elementary,,(661) 285-3683
Los Amigos,,(661) 285-1546
Guidance Charter,407.0,(661) 285-1600
Sunrise Pre-School,,(310) 791-5078
Mar Vista High,,
Miraleste High,,
Palos Verdes High,,
Rolling Hills High,,
Palos Verdes Adult,,(310) 541-7626
Palos Verdes High,564.0,(310) 378-8471
Dapplegray Intermediate,,
La Cresta Elementary,,
Ladera Linda Elementary,,
Palos Verdes Peninsula USD Adult Education,,
Miraleste Elementary,,(310) 732-0922
Valmonte Elementary,,
Valmonte Elementary,,(310) 791-5078
Dapplegray Elementary,,(310) 541-3706
Ridgecrest Intermediate,,(310) 544-2747
Leona Jackson,,(562) 602-8020
Howard Tanner,,(562) 602-8060
Paramount Park Middle,,(562) 602-8052
Alondra Middle,,(562) 602-8004
Paramount Alternative Education Center,,
Contreras High (Cont.),,
Paramount High West,,
Paramount Unified Community Day,,(562) 602-8084
Paramount High School Academy,,
Grove Elem.,,
Clearwater Intermediate,,
Frank J. Zamboni,,(562) 602-8048
Paramount Park,,
Jefferson Elementary,,(562) 602-8024
Orange Avenue (Elem),,
Nia Educational Charter,,
Aveson Global Leadership Academy,,(626) 797-1438
Aveson School of Leaders,,(626) 797-1438
Pasadena Rosebud Academy,,(626) 797-7704
Rhythms of the Village Charter High,,
CIS Academy,,(626) 396-5883
Learning Works,,(626) 564-2871
Celerity Exa Charter,,
Sierra Madre Middle,,(626) 396-5910
Pasadena Rosebud Academy Middle,,(626) 797-7704
Twilight Adult,,(626) 396-5883
Washington Center,,
Evening High,,
Pasadena Unified Alternative,,
Pasadena Community Prep,,
Arroyo Seco Elem.,,
Audubon Primary,,
Arroyo Garfield Elem.,,
Hale Elementary,,
Lincoln Elementary,,
McKinley Elem.,,
Sierra Mesa Fundamental,,
Marshall Junior High Defunct,,
Roosevelt Junior and Senior Hi,,
McKinley Junior High,,
Washington Junior High,,
Intermediate Opportunity  (I.O.S.),,
Fundamental School,,
McKinley Fundamental,,
Marshall Fundamental Elementar,,
Marshall Fundamental Primary A,,
Washington Elementary,,(626) 396-5840
McKinley,,(626) 396-5630
Arcadia Adult Evening School,,
Educational Resource Center at Garey Village Community Day,,
